Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT_2009,total_population_2009,population_white_2009,Population_Black_2009,Population_Latino_2009,Population_American_Indian_2009,Population_Asian_2009,Population_Pacific_Islander_2009,Population_Other_2009,Population_Multiple_Races_2009,Households_2009,Households_Family_2009,Households_Married_2009,Households_Other_Family_2009,Households_Other_Family_Male Householder_2009,Households_Other_Family_Female Householder_2009,Households_Nonfamily_2009,Households_Nonfamily_Male_Householder_2009,Households_Nonfamily_Female_Householder_2009,Occupied_Housing_Units_2009,Occupied_Housing_Units_Family_2009,Occupied_Housing_Units_Married_2009,Occupied_Housing_Units_Other_Family_2009,Occupied_Housing_Units_Nonfamily_Households_2009,Occupied_Housing_Units_Householder Living_Alone_2009,Renter_Housing_Units_2009,Occupied_ Housing_With_Children_Under_18_2009,occupied_ housing_with_own_children_under_18_2009,renter_occupied_ housing_with_children_under_18_2009,renter_occupied_ housing_with_own_children_under_18_2009,Householder_Black_2009,Householder_American_Indian_2009,Householder_Asian_2009,Householder_Pacific_Islander_2009,Householder_Other_Race_2009,Householder_Multiple_Races_2009,Householder_Latino_2009,Householder_White_2009,Renter_Black_2009,Renter_American_Indian_2009,Renter_Asian_2009,Renter_Pacific_Islander_2009,Renter_Other_Race_2009,Renter_Multiple_Races_2009,Renter_White_2009,Renter_Latino_2009,Population_15_and_Over_2009,Population_Never_Married_2009,Population_Married_2009,Population_Separated_2009,Population_Widowed_2009,Population_Divorced_2009,Population_25_Years_and_Over_2009,Population_25_Years_and_Over_No_Diploma_2009,Population_25_Years_and_Over_Diploma_2009,Population_25_Years_and_Some_College_2009,Population_25_Years_and_Bachelors_2009,Population_25_Years_and_Over_Masters_2009,Population_25_Years_and_Professional_2009,Population_25_Years_and_Over_Doctorate_2009,Population_3_Years_and_Over_2009,Population_3_Years_and_Over_Enrolled_In_school_2009,Population_3_Years_and_Over_Not_enrolled_in_school_2009,Civilian_Population_16_to_19_2009,Civilian_Population_16_to_19_HS_Dropout_2009,Civilian_Population_16_to_19_Enrolled_or_Graduated_2009,Population_16_Years_and_Over_2009,Population_16_Years_and_Over_in_labor_force_2009,Population_16_Years_and_Over__armed_forces_2009,Population_16_Years_and_Over_in_labor_force_civilian_2009,Population_16_Years_and_Over_in_labor_force_civilian__employed_2009,Population_16_Years_and_Over_in_labor_force_civilian_unemployed_2009,Population_16_Years_and_Over_not_in_labor_force_2009,In Labor Force 16 Years and Over:,Median_Household_Income_2009,Median_Household_Income_black_2009,Median_Household_Income_american_indian_2009,Median_Household_Income_asian_2009,Median_Household_Income_pacific_islander_2009,Median_Household_Income_other_race_2009,Median_Household_Income_multiple_races_2009,Median_Household_Income_latino_2009,Median_Household_Income_white_2009,Gini_Index_2009,Occupied_Housing_Units_2009,Owner_Occupied_Housing_Units_2009,Renter_Occupied_Housing_Units_2009,Housing_Units_2009,Vacant_Housing_Units_2009,Vacant_Housing_Rent_2009,Vacant_Housing_for_Sale_2009,Vacant_Housing_Other_Vacant_2009,Renter_Occupied_Housing_2009,Renter_Occupied_Housing_1_1.5_Occupants_per_room_2009,Renter_Occupied_Housing_1.51_2_Occupants_per_room_2009,Renter_Occupied_Housing_2_or_more_Occupants_per_room_2009,Occupied_Housing_2009,Occupied_Housing_1_1.5_Occupants_per_room_2009,Occupied_Housing_1.51_2_Occupants_per_room_2009,Occupied_Housing_2_or_more_Occupants_per_room_2009,Median_Gross_Rent_as_Percentage_Household_Income_2009,Families_2009,Families_below_poverty_line_2009,Families_below_poverty_line_married_with_children_2009,Families_below_poverty_line_married_no_children_2009,Families_below_poverty_line_male_householder_2009,Families_below_poverty_line_male_householder_with_children_2009,Families_below_poverty_line_male_householder_no_children_2009,Families_below_poverty_line_female_householder_2009,Families_below_poverty_line_female_householder_with_children_2009,Families_below_poverty_line_female_householder_no_children_2009,Families_at_or_above_poverty_line_2009,Population_Poverty_Status_Is_Determined_2009,Population_Poverty_Status_Is_Determined_under.5_2009,Population_Poverty_Status_Is_Determined_.5_.74_2009,Population_Poverty_Status_Is_Determined_.74_.99_2009,Population_Poverty_Status_Is_Determined_1_1.49_2009,Population_Poverty_Status_Is_Determined_1.5_1.9_2009,Population_Poverty_Status_Is_Determined_2_above_2009,Housing_units_No_Vehicle_Available_2009,Renter_units_No_Vehicle_Available_2009
42101001100,14000US42101001100,"Census Tract 11, Philadelphia County, Pennsylvania","Census Tract 11, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13680,42,101,1100,5445,4543,252,378,85,392,0,64,109,3390,696,598,98,11,87,2694,1229,1465,3390,696,598,98,2694,2175,2036,124,124,15,15,133,15,246,0,18,15,225,2753,98,7,206,0,18,15,1598,109,5247,3319,1238,60,123,507,4526,188,4338,3980,3444,1963,995,340,5363,1239,4124,145,6,139,5236,3925,0,3925,3802,123,1311,3925,64367,18092,140568,48898,,,,129526,71963,0.532000005,3390,1354,2036,3852,462,181,116,165,2036,0,28,0,3390,0,28,0,31.89999962,696,16,0,16,0,0,0,0,0,0,680,5445,599,209,312,209,291,3825,1773,1257
42101001200,14000US42101001200,"Census Tract 12, Philadelphia County, Pennsylvania","Census Tract 12, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13681,42,101,1200,8515,7498,399,299,58,350,0,99,111,4495,1589,1320,269,48,221,2906,1609,1297,4495,1589,1320,269,2906,2170,2865,550,540,107,107,212,35,172,0,12,65,85,3936,177,35,143,0,6,55,2424,41,7839,4083,2896,165,173,522,6958,218,6740,6301,5461,2947,1314,508,8375,2188,6187,217,0,217,7769,5852,0,5852,5600,252,1917,5852,80983,46379,,42595,,148984,36034,140748,89963,0.518999994,4495,1630,2865,5144,649,159,48,442,2865,0,0,0,4495,12,0,0,25.39999962,1589,37,18,0,9,0,9,10,10,0,1552,8260,366,220,128,184,318,7044,2346,1899
42101001300,14000US42101001300,"Census Tract 13, Philadelphia County, Pennsylvania","Census Tract 13, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13682,42,101,1300,4916,2401,2083,68,37,89,0,0,306,2163,995,651,344,115,229,1168,491,677,2163,995,651,344,1168,836,842,314,269,97,88,807,0,17,0,0,112,40,1216,363,0,17,0,0,71,391,0,4465,2361,1470,115,310,209,3894,359,3535,2495,1734,918,385,156,4774,1008,3766,134,0,134,4387,3160,51,3109,2971,138,1227,3160,64754,43607,,,,,27672,128039,81655,0.435000002,2163,1321,842,2616,453,0,33,420,842,0,0,0,2163,0,0,0,27.10000038,995,124,0,23,31,31,0,70,34,36,871,4916,442,188,138,329,416,3403,793,509
42101001400,14000US42101001400,"Census Tract 14, Philadelphia County, Pennsylvania","Census Tract 14, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13683,42,101,1400,3739,2428,942,92,35,169,0,15,150,1939,553,432,121,44,77,1386,707,679,1939,553,432,121,1386,929,1183,282,274,73,73,557,35,94,0,15,94,15,1144,415,35,33,0,15,94,591,15,3325,1964,892,106,165,198,2946,258,2688,2302,1782,855,251,98,3651,803,2848,97,20,77,3278,2601,0,2601,2505,96,677,2601,56683,17702,,74110,,,20750,,93082,0.47299999,1939,756,1183,2277,338,0,34,304,1183,0,0,0,1939,0,0,0,28.60000038,553,15,0,15,0,0,0,0,0,0,538,3739,121,174,287,199,503,2455,927,811
42101001500,14000US42101001500,"Census Tract 15, Philadelphia County, Pennsylvania","Census Tract 15, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13684,42,101,1500,2553,1915,367,315,0,143,0,31,97,1276,602,476,126,43,83,674,385,289,1276,602,476,126,674,526,608,137,137,18,18,127,0,45,0,6,75,75,948,85,0,13,0,0,45,419,46,2247,884,1036,21,82,224,2156,282,1874,1664,1168,611,267,109,2446,453,1993,29,0,29,2247,1773,0,1773,1715,58,474,1773,73103,39037,,63211,,,108502,117891,74587,0.44600001,1276,668,608,1466,190,27,35,128,608,0,0,0,1276,53,0,0,25.10000038,602,13,0,0,0,0,0,13,0,13,589,2553,112,32,7,205,94,2103,395,296
42101001600,14000US42101001600,"Census Tract 16, Philadelphia County, Pennsylvania","Census Tract 16, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13685,42,101,1600,2095,1937,91,46,0,0,0,0,67,1184,345,266,79,63,16,839,438,401,1184,345,266,79,839,658,622,163,163,79,79,91,0,0,0,0,14,46,1033,32,0,0,0,0,14,540,36,1813,841,558,120,81,213,1627,65,1562,1416,1114,502,278,124,2012,400,1612,23,0,23,1800,1609,0,1609,1590,19,191,1609,80127,24496,,,,,,95582,82643,0.441000015,1184,562,622,1330,146,25,31,90,622,0,0,0,1184,0,0,0,24.89999962,345,13,0,0,13,13,0,0,0,0,332,2095,149,6,34,74,117,1715,426,247
42101001700,14000US42101001700,"Census Tract 17, Philadelphia County, Pennsylvania","Census Tract 17, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13686,42,101,1700,2870,2545,263,161,22,40,0,0,0,1457,562,446,116,14,102,895,456,439,1457,562,446,116,895,638,490,210,203,46,46,84,22,28,0,0,0,78,1245,0,0,0,0,0,0,443,47,2505,1106,927,28,123,321,2372,85,2287,2080,1635,733,290,154,2686,492,2194,44,0,44,2505,2012,0,2012,1974,38,493,2012,80938,76784,,173207,,,,30943,88492,0.493000001,1457,967,490,1635,178,42,33,103,490,0,0,0,1457,0,0,0,30.29999924,562,0,0,0,0,0,0,0,0,0,562,2870,29,33,95,50,109,2554,333,219
42101001800,14000US42101001800,"Census Tract 18, Philadelphia County, Pennsylvania","Census Tract 18, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13687,42,101,1800,3208,2663,351,143,19,142,0,12,21,1394,749,458,291,37,254,645,341,304,1394,749,458,291,645,490,547,163,122,33,33,104,19,71,0,12,8,60,1132,70,19,52,0,12,8,363,35,3017,1651,933,10,151,272,2713,249,2464,1658,1446,671,300,115,3129,390,2739,4,0,4,2966,2424,0,2424,2151,273,542,2424,74261,58865,,25293,,,,98845,95053,0.437999994,1394,847,547,1443,49,0,0,49,547,25,0,0,1394,25,0,0,28.29999924,749,38,0,0,0,0,0,38,14,24,711,3208,174,68,116,65,177,2608,436,238
42101001900,14000US42101001900,"Census Tract 19, Philadelphia County, Pennsylvania","Census Tract 19, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13688,42,101,1900,2643,1138,1368,189,0,0,0,49,88,945,361,180,181,51,130,584,205,379,945,361,180,181,584,409,443,150,141,64,64,435,0,0,0,12,9,33,468,190,0,0,0,12,0,232,21,2335,1349,487,63,175,261,2068,469,1599,1025,738,334,130,22,2578,654,1924,29,11,18,2323,1413,0,1413,1311,102,910,1413,40743,29704,,,,2864,,70194,60704,0.463,945,502,443,1352,407,0,108,299,443,0,11,0,945,0,11,0,37.90000153,361,81,0,17,0,0,0,64,29,35,280,2643,211,412,205,264,313,1238,421,274
42101002000,14000US42101002000,"Census Tract 20, Philadelphia County, Pennsylvania","Census Tract 20, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13689,42,101,2000,1656,0,1523,24,0,0,0,0,133,722,350,143,207,54,153,372,85,287,722,350,143,207,372,356,271,189,164,108,108,669,0,0,0,0,53,17,0,248,0,0,0,0,23,0,9,1167,558,329,52,93,135,1024,377,647,373,197,48,41,13,1589,484,1105,113,5,108,1146,720,0,720,591,129,426,720,19174,21951,,,,,7824,71468,,0.546999991,722,451,271,1028,306,27,28,251,271,0,0,0,722,0,0,0,29.79999924,350,132,4,8,23,23,0,97,97,0,218,1656,381,312,32,202,133,596,427,251
42101002100,14000US42101002100,"Census Tract 21, Philadelphia County, Pennsylvania","Census Tract 21, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13690,42,101,2100,1855,68,1745,0,0,33,0,0,9,757,396,140,256,20,236,361,79,282,757,396,140,256,361,361,234,263,228,108,99,709,0,15,0,0,9,0,24,219,0,15,0,0,0,0,0,1355,604,335,68,206,142,1034,216,818,364,121,61,41,41,1794,579,1215,141,0,141,1355,748,0,748,644,104,607,748,35976,35391,,,,,,,203994,0.386999995,757,523,234,1125,368,45,25,298,234,0,15,0,757,24,15,0,50,396,113,24,0,0,0,0,89,89,0,283,1855,190,86,252,433,231,663,306,96
42101002200,14000US42101002200,"Census Tract 22, Philadelphia County, Pennsylvania","Census Tract 22, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13691,42,101,2200,2032,714,1207,300,0,64,0,0,47,917,398,142,256,85,171,519,353,166,917,398,142,256,519,453,628,281,255,254,254,549,0,36,0,0,47,85,200,350,0,0,0,0,33,160,85,1541,840,430,78,21,172,1261,174,1087,734,478,272,80,0,1882,647,1235,128,0,128,1525,1062,0,1062,867,195,463,1062,30343,19787,,2864,,,11971,58587,36701,0.519999981,917,289,628,1325,408,92,48,268,628,75,0,0,917,75,0,0,50,398,185,0,0,62,62,0,123,123,0,213,2032,521,60,197,308,56,890,402,304
42101002300,14000US42101002300,"Census Tract 23, Philadelphia County, Pennsylvania","Census Tract 23, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13692,42,101,2300,2741,2022,125,450,0,538,0,8,48,1177,490,374,116,65,51,687,308,379,1177,490,374,116,687,520,548,167,130,53,53,59,0,117,0,0,0,133,868,13,0,41,0,0,0,379,115,2462,1027,901,122,136,276,2235,617,1618,1241,771,260,104,53,2689,471,2218,74,24,50,2453,1706,13,1693,1552,141,747,1706,40245,45917,,24093,,,,82609,47115,0.437999994,1177,629,548,1325,148,30,19,99,548,0,9,0,1177,30,9,0,30.20000076,490,57,41,9,0,0,0,7,0,7,433,2741,104,184,307,186,544,1416,453,324
42101002400,14000US42101002400,"Census Tract 24, Philadelphia County, Pennsylvania","Census Tract 24, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13693,42,101,2400,4625,3492,350,1057,0,421,0,342,20,2031,802,517,285,25,260,1229,545,684,2031,802,517,285,1229,910,1044,361,331,275,250,187,0,163,0,75,0,137,1522,100,0,120,0,24,0,743,81,4189,2206,1317,68,204,394,3275,608,2667,1838,1399,669,284,99,4594,817,3777,216,64,152,4098,3046,0,3046,2714,332,1052,3046,42141,29175,,20670,,67655,,76221,48748,0.467000008,2031,987,1044,2468,437,37,177,223,1044,57,83,0,2031,57,83,0,28.70000076,802,219,49,0,16,0,16,154,113,41,583,4625,392,136,359,567,135,3036,890,491
42101002500,14000US42101002500,"Census Tract 25, Philadelphia County, Pennsylvania","Census Tract 25, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13694,42,101,2500,3753,2032,1268,534,0,217,0,165,71,1590,786,385,401,63,338,804,312,492,1590,786,385,401,804,662,884,337,309,228,217,495,0,60,0,41,16,169,865,409,0,34,0,41,16,329,111,3116,1520,799,187,279,331,2592,465,2127,1291,761,395,129,37,3688,977,2711,256,0,256,3097,1820,0,1820,1588,232,1277,1820,32184,16551,,16044,,55407,,50712,59406,0.635999978,1590,706,884,1780,190,82,47,61,884,30,39,0,1590,30,39,0,27.10000038,786,233,0,50,40,40,0,143,64,79,553,3753,432,348,324,513,216,1920,590,452
42101002600,14000US42101002600,"Census Tract 26, Philadelphia County, Pennsylvania","Census Tract 26, Philadelphia County, Pennsylvania",pa,140,0,ACSSF,13695,42,101,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
